,participant_id,Condition,Classifier,Parameters Used,Confusion_Matrix,CV_Train_Bal_Accuracy,CV_Test_Bal_Accuracy,Test_Bal_Accuracy,CV_Train_Accuracy,CV_Test_Accuracy,Test_Accuracy,CV_Train_Precision,CV_Test_Precision,Test_Precision,CV_Train_Matthews_coef,CV_Test_Matthews_coef,Matthews_Coef,CV_Train_Recall,CV_Test_Recall,Test_recall,CV_Train_Fbeta_0.5,Fbeta_0.5,CV_Train_Fbeta_1.5,CV_Test_Fbeta_1.5,Fbeta_1.5,CV_Train_F1,CV_Test_F1,F1_score,CV_Train_ROC_AUC,CV_Test_ROC_AUC,Test_ROC_AUC,Mean Fit Time,Mean Score Time
68,sub-003,Neutral/Inverted/Faces,RF,"{'RF__n_estimators': 2275, 'RF__min_samples_split': 4, 'RF__min_samples_leaf': 1, 'RF__max_samples': 0.9, 'RF__max_leaf_nodes': 197, 'RF__max_depth': None, 'RF__class_weight': None}","[[27  1]
 [ 5  0]]",51.8,50.0,48.2,84.4,83.8,81.8,60.0,0.0,0.0,0.135,0.0,-0.075,3.7,0.0,0.0,0.146,0.0,0.052,0.0,0.0,0.069,0.0,0.0,0.518,0.5,0.482,3.165,0.22
69,sub-003,Neutral/Inverted/Silhouettes,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 0.2395026619987486}","[[24  4]
 [ 1  5]]",100.0,68.4,84.5,100.0,59.2,85.3,100.0,28.9,55.6,1.0,0.289,0.597,100.0,81.7,83.3,1.0,0.595,1.0,0.501,0.722,1.0,0.412,0.667,1.0,0.684,0.845,0.564,0.028
70,sub-003,Neutral/Inverted/Silhouettes,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[28  0]
 [ 5  1]]",84.0,63.1,58.3,91.9,83.4,85.3,76.2,43.3,100.0,0.695,0.29,0.376,72.5,33.3,16.7,0.753,0.5,0.734,0.349,0.224,0.741,0.363,0.286,0.84,0.631,0.583,8.075,0.037
71,sub-003,Neutral/Inverted/Silhouettes,RF,"{'RF__n_estimators': 2063, 'RF__min_samples_split': 1, 'RF__min_samples_leaf': 4, 'RF__max_samples': 1.0, 'RF__max_leaf_nodes': 124, 'RF__max_depth': 98, 'RF__class_weight': 'balanced_subsample'}","[[28  0]
 [ 6  0]]",99.7,50.0,50.0,99.9,84.1,82.4,100.0,0.0,0.0,0.997,0.0,0.0,99.5,0.0,0.0,0.999,0.0,0.996,0.0,0.0,0.997,0.0,0.0,0.997,0.5,0.5,11.255,1.068
72,sub-003,Green/Inverted/Faces,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 0.0009236708571873865}","[[22  5]
 [ 0  5]]",100.0,82.3,90.7,100.0,70.2,84.4,100.0,37.0,50.0,1.0,0.488,0.638,100.0,100.0,100.0,1.0,0.556,1.0,0.644,0.765,1.0,0.531,0.667,1.0,0.823,0.907,0.409,0.033
73,sub-003,Green/Inverted/Faces,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[27  0]
 [ 3  2]]",91.8,76.1,70.0,96.5,90.4,90.6,92.7,61.7,100.0,0.867,0.541,0.6,85.0,55.0,40.0,0.909,0.769,0.871,0.555,0.491,0.885,0.563,0.571,0.918,0.761,0.7,8.355,0.034
74,sub-003,Green/Inverted/Faces,RF,"{'RF__n_estimators': 2305, 'RF__min_samples_split': 2, 'RF__min_samples_leaf': 3, 'RF__max_samples': 1.0, 'RF__max_leaf_nodes': 13, 'RF__max_depth': 62, 'RF__class_weight': 'balanced_subsample'}","[[27  0]
 [ 5  0]]",100.0,57.5,50.0,100.0,86.7,84.4,100.0,30.0,0.0,1.0,0.203,0.0,100.0,15.0,0.0,1.0,0.0,1.0,0.177,0.0,1.0,0.2,0.0,1.0,0.575,0.5,0.59,0.081
75,sub-003,Green/Inverted/Silhouettes,SVM,"{'SVM__class_weight': None, 'SVM__C': 0.0001}","[[20  8]
 [ 1  4]]",100.0,72.1,75.7,100.0,60.2,72.7,100.0,29.6,33.3,1.0,0.344,0.383,100.0,90.0,80.0,1.0,0.377,1.0,0.54,0.559,1.0,0.437,0.471,1.0,0.721,0.757,0.456,0.03
76,sub-003,Green/Inverted/Silhouettes,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[28  0]
 [ 3  2]]",88.9,58.4,70.0,93.9,82.1,90.9,81.8,31.7,100.0,0.779,0.198,0.601,81.5,23.3,40.0,0.816,0.769,0.814,0.245,0.491,0.815,0.257,0.571,0.889,0.584,0.7,8.508,0.029
77,sub-003,Green/Inverted/Silhouettes,RF,"{'RF__n_estimators': 1640, 'RF__min_samples_split': 8, 'RF__min_samples_leaf': 3, 'RF__max_samples': 0.8, 'RF__max_leaf_nodes': 53, 'RF__max_depth': 51, 'RF__class_weight': 'balanced_subsample'}","[[28  0]
 [ 5  0]]",100.0,50.0,50.0,100.0,83.6,84.8,100.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,8.856,0.649
78,sub-003,Target-Nontarget,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 0.0028072162039411755}","[[186  35]
 [ 12  30]]",100.0,77.6,77.8,100.0,81.2,82.1,100.0,45.2,46.2,1.0,0.464,0.472,100.0,72.2,71.4,1.0,0.497,1.0,0.608,0.611,1.0,0.555,0.561,1.0,0.776,0.778,22.984,0.04
79,sub-003,Target-Nontarget,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[198  23]
 [ 19  23]]",100.0,75.2,72.2,100.0,84.9,84.0,99.9,53.4,50.0,0.999,0.478,0.428,99.9,60.8,54.8,0.999,0.509,0.999,0.577,0.532,0.999,0.562,0.523,1.0,0.752,0.722,19.027,0.049
80,sub-003,Target-Nontarget,RF,"{'RF__n_estimators': 1399, 'RF__min_samples_split': 2, 'RF__min_samples_leaf': 5, 'RF__max_samples': 0.9, 'RF__max_leaf_nodes': 89, 'RF__max_depth': 79, 'RF__class_weight': 'balanced_subsample'}","[[221   0]
 [ 37   5]]",50.0,50.0,56.0,83.9,83.9,85.9,0.0,0.0,100.0,0.0,0.0,0.319,0.0,0.0,11.9,0.0,0.403,0.0,0.0,0.163,0.0,0.0,0.213,0.5,0.5,0.56,6.736,0.596
81,sub-004,Neutral/Upright/Faces,SVM,"{'SVM__class_weight': None, 'SVM__C': 0.7278953843983154}","[[21  9]
 [ 0  6]]",99.9,77.9,85.0,99.8,70.1,75.0,98.7,36.9,40.0,0.992,0.435,0.529,100.0,90.0,100.0,0.989,0.455,0.996,0.615,0.684,0.993,0.518,0.571,0.999,0.779,0.85,0.281,0.03
82,sub-004,Neutral/Upright/Faces,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[29  1]
 [ 3  3]]",91.6,71.7,73.3,95.3,88.2,88.9,85.9,65.0,75.0,0.831,0.491,0.553,86.1,46.7,50.0,0.859,0.682,0.86,0.497,0.557,0.859,0.523,0.6,0.916,0.717,0.733,8.306,0.034
83,sub-004,Neutral/Upright/Faces,RF,"{'RF__n_estimators': 2637, 'RF__min_samples_split': 2, 'RF__min_samples_leaf': 2, 'RF__max_samples': 0.9, 'RF__max_leaf_nodes': 186, 'RF__max_depth': 13, 'RF__class_weight': None}","[[30  0]
 [ 6  0]]",100.0,56.7,50.0,100.0,85.5,83.3,100.0,30.0,0.0,1.0,0.189,0.0,100.0,13.3,0.0,1.0,0.0,1.0,0.16,0.0,1.0,0.183,0.0,1.0,0.567,0.5,1.108,0.116
84,sub-004,Neutral/Upright/Silhouettes,SVM,"{'SVM__class_weight': None, 'SVM__C': 0.0009236708571873865}","[[21  9]
 [ 0  6]]",100.0,72.0,85.0,100.0,66.4,75.0,100.0,32.5,40.0,1.0,0.345,0.529,100.0,80.0,100.0,1.0,0.455,1.0,0.524,0.684,1.0,0.442,0.571,1.0,0.72,0.85,0.57,0.029
85,sub-004,Neutral/Upright/Silhouettes,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[22  8]
 [ 4  2]]",82.2,60.8,53.3,92.1,84.3,66.7,83.3,55.0,20.0,0.702,0.303,0.055,67.1,25.0,33.3,0.794,0.217,0.713,0.294,0.277,0.742,0.333,0.25,0.822,0.608,0.533,8.583,0.037
86,sub-004,Neutral/Upright/Silhouettes,RF,"{'RF__n_estimators': 1882, 'RF__min_samples_split': 2, 'RF__min_samples_leaf': 1, 'RF__max_samples': 1.0, 'RF__max_leaf_nodes': 19, 'RF__max_depth': 25, 'RF__class_weight': None}","[[30  0]
 [ 6  0]]",100.0,51.7,50.0,100.0,83.6,83.3,100.0,10.0,0.0,1.0,0.053,0.0,100.0,3.3,0.0,1.0,0.0,1.0,0.042,0.0,1.0,0.05,0.0,1.0,0.517,0.5,8.611,0.714
87,sub-004,Green/Upright/Faces,SVM,"{'SVM__class_weight': None, 'SVM__C': 0.0005298316906283707}","[[20  9]
 [ 0  6]]",100.0,77.3,84.5,100.0,67.9,74.3,100.0,36.1,40.0,1.0,0.421,0.525,100.0,91.7,100.0,1.0,0.455,1.0,0.605,0.684,1.0,0.506,0.571,1.0,0.773,0.845,0.467,0.029
88,sub-004,Green/Upright/Faces,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[28  1]
 [ 4  2]]",90.1,65.8,64.9,95.5,85.0,85.7,89.7,58.3,66.7,0.832,0.386,0.402,82.1,36.7,33.3,0.88,0.556,0.842,0.4,0.394,0.856,0.43,0.444,0.901,0.658,0.649,8.573,0.037
