,participant_id,Condition,Classifier,Confusion_Matrix,CV_Train_Bal_Accuracy,CV_Test_Bal_Accuracy,Test_Bal_Accuracy,CV_Train_Accuracy,CV_Test_Accuracy,Test_Accuracy,CV_Train_Precision,CV_Test_Precision,Test_Precision,CV_Train_Matthews_coef,CV_Test_Matthews_coef,Matthews_Coef,CV_Train_Recall,CV_Test_Recall,Test_recall,CV_Train_Fbeta_0.5,Fbeta_0.5,CV_Train_Fbeta_1.5,CV_Test_Fbeta_1.5,Fbeta_1.5,CV_Train_F1,CV_Test_F1,F1_score,CV_Train_ROC_AUC,CV_Test_ROC_AUC,Test_ROC_AUC,Mean Fit Time,Mean Score Time
571,sub-022,Neutral/Upright/Silhouettes,LDA,"[[26  4]
 [ 3  3]]",90.5,83.3,68.3,96.9,93.3,80.6,100.0,100.0,42.9,0.884,0.784,0.345,81.0,66.7,50.0,0.955,0.441,0.86,0.743,0.476,0.895,0.8,0.462,0.905,0.833,0.683,1.2,0.058
572,sub-022,Neutral/Upright/Silhouettes,RF,"[[30  0]
 [ 6  0]]",100.0,50.0,50.0,100.0,80.0,83.3,100.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.56,0.067
573,sub-022,Green/Upright/Faces,SVM,"[[18 11]
 [ 3  3]]",100.0,70.8,56.0,100.0,50.0,60.0,100.0,22.2,21.4,1.0,0.304,0.093,100.0,100.0,50.0,1.0,0.242,1.0,0.481,0.355,1.0,0.364,0.3,1.0,0.708,0.56,0.857,0.023
574,sub-022,Green/Upright/Faces,LDA,"[[27  2]
 [ 4  2]]",87.2,95.8,63.2,93.7,92.9,82.9,85.0,66.7,50.0,0.773,0.782,0.313,77.3,100.0,33.3,0.833,0.455,0.795,0.867,0.371,0.81,0.8,0.4,0.872,0.958,0.632,1.605,0.035
575,sub-022,Green/Upright/Faces,RF,"[[29  0]
 [ 6  0]]",100.0,75.0,50.0,100.0,92.9,82.9,100.0,100.0,0.0,1.0,0.679,0.0,100.0,50.0,0.0,1.0,0.0,1.0,0.591,0.0,1.0,0.667,0.0,1.0,0.75,0.5,0.547,0.067
576,sub-022,Green/Upright/Silhouettes,SVM,"[[20 10]
 [ 1  5]]",100.0,70.8,75.0,100.0,73.3,69.4,100.0,40.0,33.3,1.0,0.354,0.378,100.0,66.7,83.3,1.0,0.379,1.0,0.553,0.57,1.0,0.5,0.476,1.0,0.708,0.75,0.701,0.025
577,sub-022,Green/Upright/Silhouettes,LDA,"[[28  2]
 [ 2  4]]",92.9,83.3,80.0,97.7,93.3,88.9,100.0,100.0,66.7,0.913,0.784,0.6,85.7,66.7,66.7,0.968,0.667,0.897,0.743,0.667,0.923,0.8,0.667,0.929,0.833,0.8,0.763,0.038
578,sub-022,Green/Upright/Silhouettes,RF,"[[30  0]
 [ 6  0]]",100.0,50.0,50.0,100.0,80.0,83.3,100.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.55,0.067
579,sub-022,Neutral/Inverted/Faces,SVM,"[[18 11]
 [ 0  6]]",100.0,70.8,81.0,100.0,85.7,68.6,100.0,50.0,35.3,1.0,0.417,0.468,100.0,50.0,100.0,1.0,0.405,1.0,0.5,0.639,1.0,0.5,0.522,1.0,0.708,0.81,0.714,0.025
580,sub-022,Neutral/Inverted/Faces,LDA,"[[27  2]
 [ 5  1]]",94.3,50.0,54.9,96.7,85.7,80.0,90.5,0.0,33.3,0.885,0.0,0.132,90.5,0.0,16.7,0.905,0.278,0.905,0.0,0.197,0.905,0.0,0.222,0.943,0.5,0.549,1.559,0.048
