,participant_id,Condition,Classifier,Parameters Used,Confusion_Matrix,CV_Train_Bal_Accuracy,CV_Test_Bal_Accuracy,Test_Bal_Accuracy,CV_Train_Accuracy,CV_Test_Accuracy,Test_Accuracy,CV_Train_Precision,CV_Test_Precision,Test_Precision,CV_Train_Matthews_coef,CV_Test_Matthews_coef,Matthews_Coef,CV_Train_Recall,CV_Test_Recall,Test_recall,CV_Train_Fbeta_0.5,Fbeta_0.5,CV_Train_Fbeta_1.5,CV_Test_Fbeta_1.5,Fbeta_1.5,CV_Train_F1,CV_Test_F1,F1_score,CV_Train_ROC_AUC,CV_Test_ROC_AUC,Test_ROC_AUC,Mean Fit Time,Mean Score Time
0,sub-009,Neutral/Inverted/Silhouettes,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 0.00017433288221999874}","[[18 12]
 [ 2  4]]",99.6,70.4,63.3,99.4,62.0,61.1,96.5,29.4,25.0,0.979,0.311,0.2,100.0,83.3,66.7,0.972,0.286,0.989,0.527,0.441,0.982,0.431,0.364,0.996,0.704,0.633,0.286,0.03
0,sub-009,Neutral/Inverted/Silhouettes,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[29  1]
 [ 4  2]]",85.1,53.8,65.0,92.4,80.7,86.1,78.8,23.3,66.7,0.718,0.099,0.405,74.1,13.3,33.3,0.777,0.556,0.754,0.144,0.394,0.763,0.157,0.444,0.851,0.538,0.65,8.285,0.036
0,sub-009,Neutral/Inverted/Silhouettes,RF,"{'RF__n_estimators': 1169, 'RF__min_samples_split': 1, 'RF__min_samples_leaf': 5, 'RF__max_samples': 0.6, 'RF__max_leaf_nodes': 149, 'RF__max_depth': 87, 'RF__class_weight': 'balanced'}","[[30  0]
 [ 6  0]]",97.7,50.0,50.0,99.2,83.4,83.3,100.0,0.0,0.0,0.972,0.0,0.0,95.3,0.0,0.0,0.99,0.0,0.967,0.0,0.0,0.976,0.0,0.0,0.977,0.5,0.5,4.992,0.463
0,sub-009,Green/Inverted/Faces,SVM,"{'SVM__class_weight': None, 'SVM__C': 0.0028072162039411755}","[[21  9]
 [ 0  6]]",100.0,77.1,85.0,100.0,68.7,75.0,100.0,33.3,40.0,1.0,0.41,0.529,100.0,90.0,100.0,1.0,0.455,1.0,0.585,0.684,1.0,0.483,0.571,1.0,0.771,0.85,0.306,0.03
0,sub-009,Green/Inverted/Faces,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[29  1]
 [ 3  3]]",91.5,70.8,73.3,96.3,89.6,88.9,93.0,60.0,75.0,0.864,0.474,0.553,84.3,43.3,50.0,0.911,0.682,0.867,0.469,0.557,0.884,0.497,0.6,0.915,0.708,0.733,8.623,0.031
0,sub-009,Green/Inverted/Faces,RF,"{'RF__n_estimators': 1474, 'RF__min_samples_split': 4, 'RF__min_samples_leaf': 5, 'RF__max_samples': 0.8, 'RF__max_leaf_nodes': 58, 'RF__max_depth': 64, 'RF__class_weight': None}","[[30  0]
 [ 6  0]]",96.3,50.0,50.0,98.8,83.4,83.3,100.0,0.0,0.0,0.955,0.0,0.0,92.6,0.0,0.0,0.984,0.0,0.947,0.0,0.0,0.961,0.0,0.0,0.963,0.5,0.5,4.011,0.384
0,sub-009,Green/Inverted/Silhouettes,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 20.43359717856944}","[[15 15]
 [ 1  5]]",100.0,75.4,66.7,100.0,70.0,55.6,100.0,36.5,25.0,1.0,0.403,0.25,100.0,83.3,83.3,1.0,0.291,1.0,0.579,0.485,1.0,0.495,0.385,1.0,0.754,0.667,0.446,0.034
0,sub-009,Green/Inverted/Silhouettes,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[29  1]
 [ 5  1]]",80.0,54.6,56.7,92.3,83.4,83.3,88.8,30.0,50.0,0.699,0.137,0.217,61.6,11.7,16.7,0.815,0.357,0.679,0.143,0.21,0.726,0.167,0.25,0.8,0.546,0.567,8.626,0.04
0,sub-009,Green/Inverted/Silhouettes,RF,"{'RF__n_estimators': 10, 'RF__min_samples_split': 6, 'RF__min_samples_leaf': 5, 'RF__max_samples': 0.9, 'RF__max_leaf_nodes': 13, 'RF__max_depth': 42, 'RF__class_weight': None}","[[30  0]
 [ 6  0]]",83.3,50.0,50.0,94.4,83.4,83.3,100.0,0.0,0.0,0.788,0.0,0.0,66.5,0.0,0.0,0.905,0.0,0.739,0.0,0.0,0.796,0.0,0.0,0.833,0.5,0.5,11.165,1.035
0,sub-009,Target-Nontarget,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 0.1373823795883264}","[[202  38]
 [ 16  32]]",100.0,80.7,75.4,100.0,81.8,81.2,100.0,47.4,45.7,1.0,0.511,0.442,100.0,79.1,66.7,1.0,0.488,1.0,0.654,0.584,1.0,0.591,0.542,1.0,0.807,0.754,23.122,0.039
0,sub-009,Target-Nontarget,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[203  37]
 [ 21  27]]",100.0,74.8,70.4,100.0,83.5,79.9,99.9,50.3,42.2,1.0,0.458,0.366,100.0,61.8,56.2,1.0,0.444,1.0,0.574,0.51,1.0,0.551,0.482,1.0,0.748,0.704,21.159,0.048
0,sub-009,Target-Nontarget,RF,"{'RF__n_estimators': 2267, 'RF__min_samples_split': 10, 'RF__min_samples_leaf': 4, 'RF__max_samples': 1.0, 'RF__max_leaf_nodes': 11, 'RF__max_depth': 59, 'RF__class_weight': 'balanced'}","[[231   9]
 [ 32  16]]",96.6,50.5,64.8,98.9,83.5,85.8,100.0,20.0,64.0,0.959,0.042,0.392,93.2,1.1,33.3,0.986,0.541,0.952,0.015,0.391,0.965,0.02,0.438,0.966,0.505,0.648,42.468,1.267
